category_id,image_path,technique_used,ground_truth,human_guess,notes
61,61_0.jpg,misaligned feature,candle,"Candle, Candle, Candle, Candle",
61,61_1.jpg,suggestive gesture,rubik's cube,Cube,
61,61_2.jpg,"implied scene, extraneous lines",soccer ball,"Foo tboll, Football, Football",
61,61_3.jpg,overwriting motion,glasses,Glasses,
61,61_4.jpg,"misaligned feature, extraneous lines",bicycle,"Bicycle, Bicycle",
61,61_5.jpg,overwriting motion,hammer,Hammer,
61,61_6.jpg,overwriting motion,car,"Car, Car, Car, Car",
61,61_7.jpg,invalid test result,boat,"Boat, Boat , Boat",
61,61_8.jpg,invalid test result,boat,"Boat, Boat, Boat",
61,61_9.jpg,invalid test result,bus,"Bus, Bus",
59,59_0.jpg,"misaligned feature, extraneous lines",island,"Island, Island, Island, Island",
59,59_1.jpg,"implied scene, culturally grounded symbol",bank,"Bank, Bank",they use among use character to simulate a bank i think. uses SGD on top which is singapore dollars. a ton of money or seemily dollar bills flying around which takes imiplied scene. 
59,59_2.jpg,"misaligned feature, odd perspective",bowling alley,"Bowling alley,     Bowling alley",
59,59_3.jpg,misaligned feature,house,"House , House, House",
59,59_4.jpg,invalid test result,pet shop,"Pet shop, Pet shop",
59,59_5.jpg,implied depth,cave,Cave,rectangles inside each other show the depth of the cave
59,59_6.jpg,invalid test result,post office,Post office,
59,59_7.jpg,culturally grounded symbol,pharmacy,Phrmacy,guardian is a popular pharmacy in singapore so culturally relevant
59,59_8.jpg,culturally grounded symbol,pharmacy,Pharmacy,unity is a popular pharmacy in singapore so culturally relevant
59,59_9.jpg,"suggestive gesture, extraneous lines, odd perspective",train station,Train station,
66,66_0.jpg,culturally grounded symbol,Nazca Lines,Nazca,
66,66_1.jpg,culturally grounded symbol,Marina Bay Sands,Marina bay sands,
66,66_2.jpg,"minimalist abstraction, culturally grounded symbol",Marina Bay Sands,Mbs,
66,66_3.jpg,"misaligned feature, culturally grounded symbol",Marina Bay Sands,Marina bay sands,
68,68_0.jpg,overwriting motion,New years Day,New years day,
68,68_1.jpg,implied scene,Fathers day,"Father’s day, Father’s day",
68,68_2.jpg,"minimalist abstraction, culturally grounded symbol",Chinese New Year,Chinese new year,"春联 , represents the scrolls"
68,68_3.jpg,culturally grounded symbol,Chinese New Year,Chinese new year,red envelope
68,68_4.jpg,written language,April Fools,April fools,"""scamming look"" text written"
68,68_5.jpg,"extraneous lines, suggestive gesture",Hanukkah,"Hanukkah, Hanukkah",
68,68_6.jpg,culturally grounded symbol,Hanukkah,"Hanukkah, Hanukkah",hasidic man
68,68_7.jpg,overwriting motion,History,HiStory,
68,68_8.jpg,invalid test result,Monarchy,Monarchy,
68,68_9.jpg,minimalist abstraction,Thanksgiving,"Thanksgi , Thanksgiving, Thaksgiv ",
57,57_0.jpg,overwriting motion,nun,"Nun, Nun",
57,57_1.jpg,"misaligned feature, minimalist abstraction",florist,FLORIST,
57,57_2.jpg,extraneous lines,blacksmith,Blacksmith,
57,57_3.jpg,"written language, extraneous lines, misaligned feature",chef,"Chef, Chef",
57,57_4.jpg,misaligned feature,journalist,Journalist,
57,57_5.jpg,"extraneous lines, misaligned feature",pirate,Pirate,
57,57_6.jpg,"implied scene, extraneous lines, misaligned feature",pirate,"Pirate, Pirate",
57,57_7.jpg,"suggestive gesture, misaligned feature",magician,Magician,
57,57_8.jpg,overwriting motion,magician,Magi,
57,57_9.jpg,"overwriting motion, extraneous lines, written language",blacksmith,"Blacksmith, Blacksmith",
69,69_0.jpg,zoomed in texture,asteroid,Astroid,
69,69_1.jpg,minimalist abstraction,big bang,Bigbang,
69,69_2.jpg,misaligned feature,DNA,"Dna, Dna, Dna",
69,69_3.jpg,minimalist abstraction,thermometer,Thermometer,
69,69_4.jpg,invalid test result,parabolic antenna,"Parablic , Parabolic an, Parabolic ann, Parabolic ",
69,69_5.jpg,overwriting motion,moon,Moon,
69,69_6.jpg,minimalist abstraction,wifi,"Wifi, Wifi",
