category_id,image_path,technique_used,notes,ground_truth,human_guesses,ai_guess,ai_confidence,ai_reasoning,created_at
59,59/59_0.jpg,,,graveyard,"Graveyard, Graveyard",Landing Strip,82,The flags on top make me think of a landing strip for planes!,2025-06-13T21:35:15.170593+00:00
59,59/59_1.jpg,,,pharmacy,"Drug store, Idk, Pharmacy",Residence,55,"The 'R' could be for Residence, a place where people live.",2025-06-15T21:55:01.091591+00:00
55,55/55_0.jpg,,,mouse,"Mouse, Mouse",aardvark,72,That snout and tail could belong to an aardvark!,2025-06-16T21:48:56.503751+00:00
59,59/59_2.jpg,,,cave,"Cave, Roro, Cave",hair salon,80,The messy hair reminds me of a hair salon!,2025-06-17T19:49:04.775695+00:00
55,55/55_1.jpg,,,hedgehog,Hedgehog,bunny,70,Looks like a bunny to me!,2025-06-18T03:54:21.539837+00:00
64,64/64_0.jpg,,,Nintendo,"🏹🏹🏹🏹🏹🏹🏹🏹🏹🏹🏹🏹🏹🏹🏹🏹🏹🏹🏹🏹, Nintendo, Nintendo, A box",LG,72,The rectangle shape reminds me of an LG TV screen!,2025-06-18T20:48:29.830264+00:00
55,55/55_2.jpg,,,spider,Spider,robot,80,Looks like a cute little robot waving its arms!,2025-06-18T21:18:47.235978+00:00
59,59/59_3.jpg,,,cafe,"Pool, Kitchen, Cafe, Kitchen",Call center,82,Looks like a person working at a desk in a call center.,2025-06-20T19:00:31.449515+00:00
56,56/56_0.jpg,,,bowling,"Bowling, Shirt, Bowling, Bowling",filming,80,Looks like someone is filming someone else!,2025-06-20T20:52:29.883115+00:00
60,60/60_0.jpg,,,blueberry,"Banana, Blueberry, Ice, Posicle",blob,8,It looks like a blob!,2025-06-20T22:19:23.308263+00:00
72,72/72_0.jpg,,,James Bond,"James bond, Violence, Pirate",Scissors,67,"It's a stick figure holding scissors, plain and simple!",2025-06-22T18:37:37.71121+00:00
57,57/57_0.jpg,,,farmer,"Farmer, Farmer, Farmer, Farmer",chairperson,89,That stick figure looks like it's sitting on a chair!,2025-06-22T23:18:15.361114+00:00
61,61/61_0.jpg,,,nuclear weapon,"Chess, Nuclear weapon",propeller,70,It looks like a propeller spinning really fast!,2025-06-22T23:53:22.346115+00:00
72,72/72_1.jpg,,,Black Panther,"Dogman, Jurasic park, Black panther, Dogman",Mask,10,The mask is the main feature of the drawing.,2025-06-24T17:34:37.768334+00:00
